p1_diffp,p1_distance_run,p1_win_streak,p1_unf_err,p1_serve,p1_ace,elapsed_time,p1_net_pt_won,p1_label,p1_diffp_lag1,p1_diffp_lag2,p1_diffp_lag3,p1_distance_run_lag1,p1_distance_run_lag2,p1_distance_run_lag3,p1_win_streak_lag1,p1_win_streak_lag2,p1_win_streak_lag3,p1_unf_err_lag1,p1_unf_err_lag2,p1_unf_err_lag3,p1_serve_lag1,p1_serve_lag2,p1_serve_lag3,p1_ace_lag1,p1_ace_lag2,p1_ace_lag3,elapsed_time_lag1,elapsed_time_lag2,elapsed_time_lag3,p1_net_pt_won_lag1,p1_net_pt_won_lag2,p1_net_pt_won_lag3
0.4,0.11810547124520081,0.0,0.0,0.0,0.0,0.006195502524093621,0.0,1,0.0,1.0,0.0,72.403,6.596,13.646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,36.0,0.0,0.0,0.0,0.0
0.5,0.0214828910121501,0.16666666666666666,0.0,0.0,0.0,0.004589261128958238,0.0,1,-1.0,0.0,1.0,17.565,72.403,6.596,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,22.0,36.0,0.0,0.0,0.0
0.6,0.03640324630353072,0.3333333333333333,0.0,0.0,0.0,0.004589261128958238,0.0,0,0.0,-1.0,0.0,3.195,17.565,72.403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,22.0,0.0,0.0,0.0
0.5,0.03162254661350295,0.0,0.0,0.0,0.0,0.0028682882055988987,0.0,0,1.0,0.0,-1.0,5.414,3.195,17.565,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,54.0,0.0,0.0,0.0
0.4,0.12540763701646684,0.0,0.0,0.0,0.0,0.0027535566773749425,0.0,1,0.0,1.0,0.0,4.703,5.414,3.195,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,40.0,0.0,0.0,0.0
0.5,0.03269837214149795,0.0,0.0,0.0,0.0,0.005048187241854062,0.0,0,-1.0,0.0,1.0,18.651,4.703,5.414,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,40.0,0.0,0.0,0.0
0.4,0.14336047551488337,0.0,0.0,0.0,0.0,0.0026388251491509867,1.0,1,0.0,-1.0,0.0,4.863,18.651,4.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,25.0,0.0,0.0,0.0
0.5,0.0065289161730196395,0.0,0.0,0.0,0.0,0.003900871959614502,0.0,0,-1.0,0.0,-1.0,21.321,4.863,18.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,44.0,24.0,1.0,0.0,0.0
0.4,0.11933594669284509,0.0,1.0,0.0,0.0,0.0028682882055988987,0.0,0,0.0,-1.0,0.0,0.971,21.321,4.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,44.0,0.0,1.0,0.0
0.5,0.07262494704921228,0.0,0.0,1.0,0.0,0.00906379072969252,1.0,1,-1.0,0.0,-1.0,17.748,0.971,21.321,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,23.0,0.0,0.0,1.0
0.6,0.07204669082791497,0.16666666666666666,0.0,1.0,0.0,0.0029830197338228544,0.0,1,0.0,-1.0,0.0,10.801,17.748,0.971,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,25.0,34.0,1.0,0.0,0.0
0.7,0.04459296813539264,0.3333333333333333,0.0,1.0,0.0,0.004703992657182194,0.0,1,1.0,0.0,-1.0,10.715,10.801,17.748,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,79.0,25.0,0.0,1.0,0.0
0.8,0.02643168844092709,0.5,0.0,1.0,0.0,0.0030977512620468106,0.0,1,2.0,1.0,0.0,6.632,10.715,10.801,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41.0,26.0,79.0,0.0,0.0,1.0
0.5,0.031676337889902706,0.0,0.0,0.0,0.0,0.004359798072510326,0.0,0,3.0,2.0,1.0,3.931,6.632,10.715,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,41.0,26.0,0.0,0.0,0.0
0.4,0.22643437800474706,0.0,0.0,0.0,0.0,0.002524093620927031,0.0,1,0.0,3.0,2.0,4.711,3.931,6.632,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.0,27.0,41.0,0.0,0.0,0.0
0.5,0.0988145747463405,0.16666666666666666,0.0,0.0,0.0,0.0052776502983019734,0.0,0,-1.0,0.0,3.0,33.676,4.711,3.931,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,38.0,27.0,0.0,0.0,0.0
0.4,0.03880368201286956,0.0,0.0,0.0,0.0,0.0030977512620468106,0.0,0,0.0,-1.0,0.0,14.696,33.676,4.711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,22.0,38.0,0.0,0.0,0.0
